match_id,season,date_parsed,Time,HomeTeam,AwayTeam,Referee,FTHG,FTAG,FTR,HTHG,HTAG,HTR,home_win,draw,away_win,total_goals,goal_difference,over_25_goals,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,HBP,ABP,HO,AO,home_shot_accuracy,away_shot_accuracy,home_xg_simple,away_xg_simple,total_cards,total_fouls,market_avg_home,market_avg_draw,market_avg_away,bet365_home,bet365_draw,bet365_away,pinnacle_home,pinnacle_draw,pinnacle_away,market_avg_prob_home,market_avg_prob_draw,market_avg_prob_away,bet365_prob_home,bet365_prob_draw,bet365_prob_away,pinnacle_prob_home,pinnacle_prob_draw,pinnacle_prob_away,over25_avg,under25_avg,ah_line,ah_home_odds,ah_away_odds
4181,2526,2025-08-15,20:00,Liverpool,Bournemouth,A Taylor,4.0,2.0,H,1.0,0.0,H,1,0,0,6.0,2.0,1,19.0,10.0,10.0,3.0,6.0,7.0,7.0,10.0,1.0,2.0,0.0,0.0,10.0,20.0,0,0,0.5263157894736842,0.3,3.45,1.25,3.0,17.0,1.31,5.96,8.31,1.3,6.0,8.5,1.28,6.56,9.07,0.7259844066296011,0.15957039810147275,0.11444519526892628,0.730136005726557,0.15819613457408735,0.11166785969935578,0.7483648950514177,0.1460224185466181,0.10561268640196413,1.35,3.13,-1.5,1.78,1.99
4182,2526,2025-08-16,15:00,Tottenham,Burnley,M Oliver,3.0,0.0,H,1.0,0.0,H,1,0,0,3.0,3.0,1,16.0,14.0,6.0,4.0,6.0,5.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.375,0.2857142857142857,2.3,1.7,0.0,22.0,1.37,4.8,8.3,1.38,4.75,8.5,1.4,4.71,8.79,0.6894284181563327,0.1967743610154533,0.11379722082821393,0.6882884418683941,0.19996590521650184,0.11174565291510398,0.6865718422113102,0.2040765560713024,0.1093516017173873,1.66,2.16,-1.25,1.75,1.95
4183,2526,2025-08-16,15:00,Sunderland,West Ham,R Jones,3.0,0.0,H,0.0,0.0,D,1,0,0,3.0,3.0,1,10.0,12.0,5.0,4.0,5.0,7.0,8.0,10.0,0.0,1.0,0.0,0.0,0.0,10.0,0,0,0.5,0.3333333333333333,1.75,1.6,1.0,18.0,3.17,3.38,2.26,3.25,3.4,2.25,3.27,3.43,2.29,0.29935417123867447,0.28075524343982194,0.4198905853215036,0.2940893801057184,0.2811148486304661,0.4247957712638154,0.29574420819982605,0.28194856000391577,0.42230723179625823,1.88,1.88,0.25,1.84,1.81
4184,2526,2025-08-16,17:30,Wolves,Manchester City,J Gillett,0.0,4.0,A,0.0,2.0,A,0,0,1,4.0,-4.0,1,9.0,15.0,3.0,4.0,4.0,6.0,13.0,7.0,1.0,2.0,0.0,0.0,10.0,20.0,0,0,0.3333333333333333,0.26666666666666666,1.2,1.75,3.0,20.0,6.73,4.73,1.44,6.25,4.75,1.45,6.72,4.92,1.46,0.140915645501321,0.20049942795431083,0.6585849265443683,0.1509175568337442,0.1985757326759792,0.6505067104902768,0.14350098288344443,0.19600134247494846,0.6604976746416071,1.61,2.25,1.25,1.83,1.86
4185,2526,2025-08-16,12:30,Aston Villa,Newcastle,C Pawson,0.0,0.0,D,0.0,0.0,D,0,1,0,0.0,0.0,0,3.0,16.0,3.0,3.0,3.0,6.0,13.0,11.0,1.0,1.0,1.0,0.0,35.0,10.0,0,0,1.0,0.1875,0.8999999999999999,1.5499999999999998,3.0,24.0,2.3,3.56,2.94,2.25,3.5,2.9,2.24,3.72,3.13,0.41179710737948727,0.2660486929698934,0.32215419965061926,0.4134419551934827,0.26578411405295316,0.3207739307535642,0.431442588448028,0.25979338659236095,0.3087640249596111,1.61,2.25,-0.25,1.9,1.78
4186,2526,2025-08-16,15:00,Brighton,Fulham,S Barrott,1.0,1.0,D,0.0,0.0,D,0,1,0,2.0,0.0,0,10.0,7.0,4.0,2.0,4.0,3.0,16.0,15.0,3.0,3.0,0.0,0.0,30.0,30.0,0,0,0.4,0.2857142857142857,1.5,0.85,6.0,31.0,1.92,3.62,3.91,1.91,3.6,4.0,1.94,3.73,3.98,0.49469799173767465,0.2623812552862805,0.24292075297604485,0.49799419006778256,0.2642135841748513,0.23779222575736617,0.4981209819211618,0.25907632839867395,0.24280268968016425,1.71,2.08,-0.5,1.87,1.88
4187,2526,2025-08-17,14:00,Nottingham Forest,Brentford,P Bankes,3.0,1.0,H,3.0,0.0,H,1,0,0,4.0,2.0,1,11.0,10.0,5.0,3.0,5.0,5.0,7.0,15.0,1.0,2.0,0.0,0.0,10.0,20.0,0,0,0.45454545454545453,0.3,1.8,1.25,3.0,22.0,2.15,3.36,3.43,2.2,3.3,3.5,2.25,3.38,3.4,0.44116937752887275,0.28229588145448703,0.27653474101664033,0.4356846473029045,0.2904564315352697,0.2738589211618257,0.4296556623172692,0.28601338467865556,0.28433095300407524,1.92,1.83,-0.25,1.77,1.92
4188,2526,2025-08-17,16:30,Manchester United,Arsenal,S Hooper,0.0,1.0,A,0.0,1.0,A,0,0,1,1.0,-1.0,0,22.0,9.0,7.0,3.0,3.0,4.0,10.0,19.0,1.0,4.0,0.0,0.0,10.0,40.0,0,0,0.3181818181818182,0.3333333333333333,2.85,1.2,5.0,29.0,3.57,3.56,2.01,3.6,3.6,1.95,3.74,3.72,2.01,0.26462528429577853,0.2653686137460476,0.4700061019581739,0.25999999999999995,0.25999999999999995,0.48,0.2586604122127898,0.2600510595902779,0.4812885281969324,1.8,1.97,0.5,1.79,1.96
4189,2526,2025-08-17,14:00,Chelsea,Crystal Palace,D England,0.0,0.0,D,0.0,0.0,D,0,1,0,0.0,0.0,0,19.0,12.0,3.0,4.0,11.0,2.0,10.0,12.0,2.0,3.0,0.0,0.0,20.0,30.0,0,0,0.15789473684210525,0.3333333333333333,1.7,1.6,5.0,22.0,1.61,4.21,5.08,1.62,4.33,4.5,1.66,4.12,5.25,0.5884596229883033,0.22504037838745097,0.18649999862424577,0.5766567227786064,0.21574685702109522,0.2075964202002983,0.5816986784709635,0.23437373938393188,0.18392758214510463,1.63,2.22,-0.75,1.72,1.97
4190,2526,2025-08-18,20:00,Leeds United,Everton,C Kavanagh,1.0,0.0,H,0.0,0.0,D,1,0,0,1.0,1.0,0,21.0,7.0,3.0,1.0,7.0,2.0,6.0,8.0,0.0,2.0,0.0,0.0,0.0,20.0,0,0,0.14285714285714285,0.14285714285714285,1.7999999999999998,0.6000000000000001,2.0,14.0,2.39,3.29,2.96,2.38,3.3,3.0,2.37,3.52,3.06,0.39465227205492004,0.2866926839547899,0.31865504399029015,0.39768618944323936,0.28681610026512416,0.31549771029163654,0.4085292310493138,0.27506087431445286,0.3164098946362333,2.07,1.72,-0.25,1.94,1.75
