team,elo_rating,matches_played,win_rate,goals_per_game,goals_conceded_per_game,goal_difference_per_game,points_per_game
Liverpool,1626.479084407959,419,0.6109785202863962,2.0620525059665873,1.0310262529832936,1.0310262529832936,2.0668257756563246
Manchester City,1623.2836834219218,419,0.6921241050119332,2.350835322195704,0.8878281622911695,1.4630071599045347,2.231503579952267
Arsenal,1621.3302969030829,419,0.5584725536992841,1.863961813842482,1.0954653937947494,0.7684964200477327,1.8854415274463008
Chelsea,1577.2658692519933,419,0.522673031026253,1.727923627684964,1.1241050119331741,0.60381861575179,1.8042959427207637
Aston Villa,1571.3945272622132,305,0.3540983606557377,1.2819672131147541,1.501639344262295,-0.21967213114754097,1.2655737704918033
Newcastle,1563.795631084311,381,0.3569553805774278,1.3490813648293962,1.4356955380577427,-0.08661417322834646,1.31496062992126
Crystal Palace,1555.9336618704572,419,0.315035799522673,1.198090692124105,1.4152744630071599,-0.2171837708830549,1.2100238663484486
Brighton,1551.050085814333,305,0.3081967213114754,1.259016393442623,1.419672131147541,-0.16065573770491803,1.2491803278688525
Nottingham Forest,1543.92070229276,115,0.33043478260869563,1.2869565217391303,1.5826086956521739,-0.2956521739130435,1.2347826086956522
Brentford,1524.3681644882056,153,0.35294117647058826,1.4967320261437909,1.4836601307189543,0.013071895424836602,1.3071895424836601
Everton,1523.4460087607952,419,0.33651551312649164,1.233890214797136,1.3747016706443913,-0.14081145584725538,1.2816229116945108
Fulham,1520.0929930757843,191,0.2879581151832461,1.1832460732984293,1.5863874345549738,-0.4031413612565445,1.0890052356020943
Bournemouth,1518.0372563480869,305,0.3114754098360656,1.2852459016393443,1.698360655737705,-0.4131147540983607,1.160655737704918
Sunderland,1499.749494711643,115,0.2,0.9652173913043478,1.6,-0.6347826086956522,0.9043478260869565
Queens Park Rangers,1495.173341085841,38,0.21052631578947367,1.105263157894737,1.9210526315789473,-0.8157894736842105,0.7894736842105263
Hull City,1493.7490408844037,76,0.2236842105263158,0.9210526315789473,1.7236842105263157,-0.8026315789473685,0.9078947368421053
Stoke City,1493.3320691730794,152,0.3092105263157895,1.0855263157894737,1.4736842105263157,-0.3881578947368421,1.1973684210526316
Swansea City,1492.0092477896474,152,0.3157894736842105,1.0592105263157894,1.493421052631579,-0.4342105263157895,1.1644736842105263
Middlesbrough,1491.417142410045,38,0.13157894736842105,0.7105263157894737,1.394736842105263,-0.6842105263157895,0.7368421052631579
Cardiff City,1490.3582935102218,38,0.2631578947368421,0.8947368421052632,1.8157894736842106,-0.9210526315789473,0.8947368421052632
West Bromwich Albion,1478.1069214531526,190,0.23157894736842105,0.9526315789473684,1.4842105263157894,-0.531578947368421,0.9947368421052631
Wolves,1477.616232071107,267,0.352059925093633,1.149812734082397,1.4119850187265917,-0.26217228464419473,1.2771535580524345
Huddersfield Town,1477.5688955600713,76,0.15789473684210525,0.6578947368421053,1.763157894736842,-1.105263157894737,0.6973684210526315
Leeds United,1473.025747223975,115,0.30434782608695654,1.3304347826086957,1.8347826086956522,-0.5043478260869565,1.1391304347826088
West Ham,1472.1889964163272,419,0.34844868735083534,1.3723150357995226,1.5250596658711217,-0.15274463007159905,1.295942720763723
Manchester United,1471.1302036865472,419,0.4964200477326969,1.558472553699284,1.136038186157518,0.4224343675417661,1.7350835322195703
Tottenham,1459.9659648292902,419,0.5155131264916468,1.8210023866348448,1.2171837708830548,0.60381861575179,1.7350835322195703
Norwich City,1453.9208624337307,114,0.16666666666666666,0.7719298245614035,1.9824561403508771,-1.2105263157894737,0.6754385964912281
Watford,1453.6541995053135,228,0.2719298245614035,1.0789473684210527,1.6754385964912282,-0.5964912280701754,1.0219298245614035
Luton,1434.0815074071477,38,0.15789473684210525,1.368421052631579,2.236842105263158,-0.868421052631579,0.6842105263157895
Burnley,1431.678314318673,305,0.26229508196721313,0.980327868852459,1.4885245901639343,-0.5081967213114754,1.0459016393442624
Leicester,1410.7793838697653,380,0.3684210526315789,1.4473684210526316,1.4736842105263157,-0.02631578947368421,1.3263157894736841
Sheffield United,1407.2914327473686,114,0.21052631578947367,0.8245614035087719,1.8070175438596492,-0.9824561403508771,0.8157894736842105
Ipswich,1396.4785270264013,38,0.10526315789473684,0.9473684210526315,2.1578947368421053,-1.2105263157894737,0.5789473684210527
Southampton,1364.3690949194056,380,0.28421052631578947,1.1552631578947368,1.5710526315789475,-0.41578947368421054,1.0947368421052632
